fold,best_reps,best_bandwidth,best_C,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_test
69,1,0.2,10.0,0.5,0.4920634920634921,-0.015873015873015872,0.08039924349252715,0.09782005854304748,24.1812879603346,16
70,2,0.2,10.0,0.4375,0.4375,-0.1259881576697424,0.04648371048152493,0.09087279833555996,10.440447649657573,16
71,2,0.5,1.0,0.6875,0.6875,0.3779644730092272,0.1070528462097513,0.11052106016812083,47.49324925758288,16
72,2,0.2,10.0,0.75,0.75,0.5163977794943222,0.03996985537975869,0.08158719791359355,10.727024144281902,16
73,2,0.2,10.0,0.625,0.6349206349206349,0.2698412698412698,0.03766970664649711,0.08067261531913632,10.68170608346397,16
74,2,0.1,1.0,0.4375,0.40476190476190477,-0.21821789023599236,0.013999549887575628,0.05795352101096644,3.1266320170583226,16
75,1,0.5,10.0,0.4375,0.4375,-0.13483997249264842,0.11740498062428253,0.12003329557812051,52.6157521864992,16
76,1,0.5,10.0,0.625,0.625,0.2886751345948129,0.1243190175433236,0.12676326217993578,51.33404738567861,16
77,2,0.1,10.0,0.5,0.5,0.0,0.016236040177472776,0.053863113954774146,3.0904601095238777,16
78,1,0.1,0.1,0.5625,0.5,0.0,0.017367243459866594,0.05678392090833,3.6534605616355664,16
79,1,0.2,10.0,0.625,0.6031746031746031,0.22084711628963774,0.09332670667518052,0.11017384058350953,26.199444565194074,16
80,1,0.5,10.0,0.375,0.375,-0.2581988897471611,0.13010852663123,0.1326521457569293,51.90595908149346,16
81,1,0.2,1.0,0.625,0.625,0.2581988897471611,0.09279257668929157,0.10544566866595692,28.560862145516822,16
82,1,0.1,1.0,0.375,0.375,-0.2581988897471611,0.025897320604467967,0.07496624536392678,3.620128088870936,16
83,1,0.2,10.0,0.6875,0.7063492063492063,0.42289003161103106,0.07449247647830966,0.0877852621422665,25.253917428952622,16
84,1,0.2,10.0,0.5625,0.5952380952380952,0.21821789023599236,0.07550641810281693,0.08809822810102612,26.538814500381854,16
85,1,0.5,1.0,0.5,0.5,0.0,0.11565444638576237,0.11823261231965274,52.0981510774389,16
86,2,0.5,1.0,0.5625,0.5625,0.13483997249264842,0.11986556036362524,0.12354253258146705,46.90834644571775,16
87,2,0.5,10.0,0.4375,0.4375,-0.1259881576697424,0.11824162338859913,0.12357983417230613,47.422056404355345,16
88,1,0.2,1.0,0.4375,0.45238095238095233,-0.09759000729485331,0.08761452756517304,0.10366973971062725,25.915871758320332,16
