fold,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_test,best_C,best_gamma
74,0.4117647058823529,0.37142857142857144,-0.27774602993176545,0.05190806928515693,0.09016655754421342,11.310950866788414,17,10.0,scale
75,0.5,0.5,0.0,0.051678236972491576,0.09138916287385374,11.789181404782362,16,10.0,scale
76,0.3125,0.32539682539682535,-0.3578300267477955,0.1155150159127917,0.11932511033964346,43.54412802482452,16,10.0,0.1
77,0.4,0.3839285714285714,-0.2618924633082486,0.02203505247943263,0.0634411698694053,3.5657424547405205,15,10.0,0.01
78,0.26666666666666666,0.4,-0.37796447300922725,0.11193741757240341,0.11166321431850311,46.28452784053496,15,1.0,0.1
79,0.5555555555555556,0.55,0.1,0.017508646238004907,0.057254805403134004,3.6264245784963474,18,10.0,0.01
80,0.5,0.5,0.0,0.051907060096799046,0.07400130425267974,11.173031939873601,22,0.1,scale
81,0.5263157894736842,0.5166666666666666,0.027216552697590865,0.0745300580352395,0.05996407642241878,3.1475653465459956,19,10.0,0.01
82,0.2,0.3125,-0.375,0.11124574503163179,0.11583622504486957,49.025038236012676,10,10.0,0.1
83,0.4,0.375,-0.25,0.047694309604442896,0.08166639127432482,11.07771387849934,10,10.0,scale
84,0.3684210526315789,0.40384615384615385,-0.18531232916527532,0.11870082815714375,0.12154716668667569,44.76855374851849,19,10.0,0.1
85,0.5384615384615384,0.55,0.09759000729485333,0.1124951533385395,0.11638538683369506,46.12510103101796,13,10.0,0.1
86,0.43478260869565216,0.3968253968253968,-0.21144501580551553,0.1245704330019112,0.1286072456260201,41.587381934935216,23,10.0,0.1
87,0.21428571428571427,0.25757575757575757,-0.4403855060505443,0.049665262162206375,0.05535991973593808,3.4254992568759075,14,10.0,0.01
88,0.5333333333333333,0.6111111111111112,0.3202563076101743,0.1221893753871708,0.12109323412977946,46.76010389942925,15,1.0,0.1
89,0.5333333333333333,0.4431818181818182,-0.10660035817780521,0.013306173212203039,0.05090605968532384,3.540846442245596,15,10.0,0.01
90,0.058823529411764705,0.1,-0.8593378488473195,0.12901366725065994,0.1351265329438062,45.934379455212806,17,10.0,0.1
91,0.47368421052631576,0.4642857142857143,-0.06900655593423542,0.046717284561036757,0.081077116377372,3.5041398723313693,19,10.0,0.01
92,0.5,0.5,0.0,0.10496568782305642,0.10787054778088079,48.178583186889576,10,1.0,0.1
93,0.5,0.4857142857142857,-0.02857142857142857,0.0455327921082935,0.07627645132701269,11.29836663312106,12,10.0,scale
94,0.5,0.5,0.0,0.11844199373616388,0.12432958187757513,42.49606152349509,22,10.0,0.1
95,0.4375,0.4375,-0.1259881576697424,0.023588362584130402,0.07147989319066403,3.6054489906776412,16,1.0,0.01
96,0.4444444444444444,0.4375,-0.125,0.022228787840445616,0.0717553591508691,3.7832522258736843,18,10.0,0.01
97,0.4,0.4375,-0.10206207261596577,0.03813160849277781,0.0716124887339189,11.449803112970063,10,1.0,scale
98,0.4074074074074074,0.5,0.0,0.08118353432317517,0.08042214979792386,9.896985558850112,27,0.1,scale
99,0.5555555555555556,0.5,0.0,0.041933685634329976,0.07008718441026518,11.132527155459972,9,0.1,scale
