fold,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_test,best_C,best_degree,best_gamma,best_coef0
47,0.6153846153846154,0.5375,0.10112997936948631,0.07463205441429979,0.07731049217314424,22.70793423861411,13,10.0,3,scale,0.0
48,0.5294117647058824,0.4916666666666667,-0.015430334996209192,0.009099547895653036,0.08445500890848967,17.44137053397661,17,0.1,2,1,1.0
49,0.36363636363636365,0.36363636363636365,-0.2773500981126146,0.06594625342482396,0.08379692479305499,15.418128066262291,22,10.0,2,scale,0.0
50,0.5,0.5125,0.025482359571881278,0.021102429490293305,0.09316825818502004,18.46155404989528,18,0.1,3,0.1,1.0
51,0.4444444444444444,0.4675324675324675,-0.06493506493506493,0.012762918650574889,0.08631977728915899,17.01477591184173,18,1.0,2,0.1,0.0
52,0.5833333333333334,0.6142857142857143,0.23904572186687872,0.05728658444975565,0.07381857547522341,16.080489953494265,12,10.0,2,scale,0.0
53,0.5,0.2692307692307692,-0.24019223070763068,0.00657236070330175,0.07357200979045012,22.318332438468143,14,0.1,3,1,1.0
54,0.6111111111111112,0.6111111111111112,0.22360679774997896,0.00393135654891758,0.06468464484059905,6.457786991777879,18,10.0,2,scale,1.0
55,0.5,0.5208333333333333,0.04303314829119352,0.006251117615193401,0.08513550911788491,21.578962657539858,14,1.0,3,0.1,1.0
56,0.4444444444444444,0.425,-0.15811388300841897,0.022039379227607157,0.08564668822620027,23.538347008841956,9,0.1,3,0.1,0.0
57,0.4166666666666667,0.5462184873949579,0.10345640946739358,0.02959210241265689,0.10566747210947171,11.715268108336353,24,0.1,3,scale,1.0
58,0.23809523809523808,0.5,0.0,0.07978637300170487,0.07409881751448893,15.617148083389596,21,0.1,2,scale,0.0
59,0.5,0.3333333333333333,-0.3333333333333333,0.01589949355741777,0.08854976634260195,22.25690796991416,12,0.1,3,0.1,1.0
60,0.4444444444444444,0.4444444444444444,-0.11396057645963795,-0.008169378535596806,0.08033161330835602,21.72031277239108,18,1.0,3,0.1,1.0
61,0.5833333333333334,0.5833333333333334,0.30151134457776363,0.06808363466238139,0.08401894335632519,16.427813440117827,12,1.0,2,scale,0.0
62,0.6666666666666666,0.6944444444444444,0.3888888888888889,0.006429985543422881,0.08449341240831648,17.448192058571053,15,1.0,2,1,1.0
63,0.42857142857142855,0.41363636363636364,-0.21968621277986813,0.0943671092118949,0.09782266847157657,19.6970805887858,21,1.0,3,scale,0.0
64,0.5,0.5,0.0,0.054459013502781234,0.06945478874859565,16.05704141206207,14,10.0,2,scale,0.0
65,0.6666666666666666,0.6527777777777778,0.31137618438976383,-0.0014140723204625072,0.07733012879997037,16.50209822333286,21,1.0,2,0.1,0.0
66,0.56,0.577922077922078,0.16116459280507606,-0.0008195134465017356,0.07715724677385652,15.068908398181039,25,0.1,2,0.1,1.0
67,0.42857142857142855,0.37777777777777777,-0.24444444444444444,0.004296526049348458,0.0758496962464629,13.345614748505742,14,0.1,2,0.1,1.0
68,0.45454545454545453,0.4642857142857143,-0.06900655593423542,0.005867924041550233,0.0778546610841066,14.51475555306364,11,1.0,2,0.1,1.0
69,0.5555555555555556,0.6666666666666666,0.3779644730092272,0.010586451675935245,0.060135609595693376,6.478483646428057,9,10.0,2,scale,1.0
70,0.55,0.5404040404040404,0.08206099398622181,0.023049929211879917,0.09430226096581064,20.54020878483597,20,0.1,3,1,0.0
71,0.26666666666666666,0.26785714285714285,-0.4642857142857143,0.06789496588498875,0.08427766203436705,15.817089914203214,15,1.0,2,scale,0.0
72,0.2222222222222222,0.5,0.0,0.08519923628425198,0.08261632114744691,23.54571279143437,9,1.0,3,scale,0.0
73,0.5263157894736842,0.5227272727272727,0.044946657497549475,0.00876166699081352,0.09197205172896987,16.436608243976004,19,0.1,2,1,0.0
74,0.6470588235294118,0.6142857142857143,0.24688535993934707,0.011099633101562725,0.08528870028441742,11.618538049193143,17,10.0,3,scale,1.0
75,0.5,0.5,0.0,0.006542564742358951,0.0837764426879547,16.52439059242616,16,0.1,2,1,0.0
76,0.75,0.7142857142857143,0.5447047794019222,0.067515021261894,0.07122768155831768,20.24662255318965,16,10.0,3,scale,0.0
77,0.4666666666666667,0.45535714285714285,-0.09449111825230681,0.012280711422066612,0.0834829346874535,22.688103824596347,15,10.0,3,0.1,0.0
78,0.5333333333333333,0.6000000000000001,0.2,0.012556764213282211,0.08156757237305025,21.572774406612428,15,10.0,3,0.1,0.0
79,0.5,0.475,-0.05547001962252291,-0.005143501471428799,0.053761831239807344,6.633495892526309,18,10.0,2,scale,1.0
80,0.6818181818181818,0.6818181818181818,0.408248290463863,0.05476820994560712,0.07105936122686814,15.725751421916382,22,10.0,2,scale,0.0
81,0.6842105263157895,0.7083333333333333,0.3440511766019877,0.034657432895281184,0.06669304370839689,13.283328269523093,19,10.0,2,0.1,1.0
82,0.6,0.5625,0.10206207261596577,0.00034039361702008285,0.06689382816902952,11.691418370486238,10,1.0,3,scale,1.0
83,0.5,0.4583333333333333,-0.0890870806374748,0.016104022920076927,0.07945587154044068,22.01667851661943,10,0.1,3,0.1,0.0
84,0.3157894736842105,0.27564102564102566,-0.41773367652300253,0.017484605397957296,0.08857007332527858,16.006657609198548,19,0.1,2,0.1,0.0
85,0.46153846153846156,0.4875,-0.025,0.009671701990156129,0.08276801036123524,14.572740373078014,13,10.0,2,0.1,1.0
