fold,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_test,best_C
87,0.25,0.25,-0.5163977794943222,0.007099346934359863,0.05357641628975302,7.277239501785625,16,10.0
88,0.5625,0.5793650793650793,0.16265001215808886,-0.0005853426888178746,0.04464835574074916,7.054875740908917,16,1.0
89,0.5,0.4920634920634921,-0.015873015873015872,-0.010655343691612603,0.03490967122410787,7.158371340810584,16,10.0
90,0.5,0.5,0.0,-0.010349341945208054,0.03415121355063266,7.024427498334299,16,0.1
91,0.5625,0.5625,0.1259881576697424,-0.01802587395745911,0.025564227659431258,7.264657531530261,16,10.0
92,0.4375,0.4375,-0.1259881576697424,-0.005553390015285467,0.039596344941738304,7.2082918478270095,16,0.1
93,0.5,0.5079365079365079,0.015873015873015872,0.006865400840286131,0.05174176654239594,7.079647436175125,16,1.0
94,0.375,0.36507936507936506,-0.2698412698412698,0.016233085744722937,0.0617536349752428,7.14031034828495,16,0.1
95,0.5,0.5,0.0,-0.005081695407590837,0.035797843540606195,6.958686310214969,16,1.0
96,0.5,0.5,0.0,-0.007532713170563735,0.03504569633258114,7.216677209472919,16,0.1
97,0.4375,0.4375,-0.1259881576697424,0.005097961320403373,0.050090561758712654,7.166072521740076,16,10.0
98,0.4375,0.42063492063492064,-0.16265001215808886,-0.002998058480033854,0.04281901518775552,7.112991863424774,16,1.0
99,0.5625,0.5793650793650793,0.16265001215808886,-0.010317703308587733,0.03549518337429705,7.381112116635329,16,1.0
