fold,best_reps,best_bandwidth,best_C,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_test
82,2,0.2,1.0,0.5,0.5,0.0,0.11982984324663315,0.12138531979450082,62.57358558028851,10
83,1,0.05,10.0,0.3,0.29166666666666663,-0.408248290463863,0.07871143037221873,0.09328639772656973,24.080463993097478,10
84,1,0.05,10.0,0.3684210526315789,0.358974358974359,-0.26257545381445874,0.09323006508138079,0.11001846790518534,24.59491383016658,19
85,1,0.05,10.0,0.38461538461538464,0.3875,-0.21957751641341997,0.07889498034723727,0.09411165919266538,24.37962385140711,13
86,2,0.05,10.0,0.5217391304347826,0.5277777777777778,0.054278245606577465,0.10871661613058414,0.12040453453532317,30.74659440302824,23
87,1,0.05,10.0,0.2857142857142857,0.303030303030303,-0.3373495424699933,0.09133369634962736,0.09167866194866008,23.147078937440757,14
88,2,0.05,10.0,0.5333333333333333,0.5277777777777778,0.05455447255899809,0.10374759350400496,0.10516036721517359,35.13422455253002,15
89,2,0.2,10.0,0.4666666666666667,0.5568181818181819,0.10660035817780521,0.12866993336539279,0.12974488017022182,60.80444115438103,15
90,1,0.1,1.0,0.17647058823529413,0.3,-0.565685424949238,0.12710680844796038,0.13038670460771074,49.95707376178294,17
91,1,0.05,1.0,0.47368421052631576,0.5833333333333334,0.2619684159977919,0.09936032108043409,0.1018514718809093,24.18369796256584,19
92,1,0.1,10.0,0.4,0.4,-0.2182178902359924,0.11952352793116687,0.12148372276444784,53.65424824252627,10
93,1,0.05,10.0,0.5,0.4857142857142857,-0.02857142857142857,0.07399845602563074,0.085634557562916,25.53256839127158,12
94,2,0.05,1.0,0.5454545454545454,0.5454545454545454,0.2182178902359924,0.09841560491849223,0.1122594311550321,29.87040589437015,22
95,2,0.5,1.0,0.4375,0.4375,-0.2581988897471611,0.1254499901824282,0.12630596823179174,59.47786941197417,16
96,1,0.1,1.0,0.5,0.475,-0.05547001962252291,0.12742205245780996,0.12938615823439284,48.98021242008739,18
97,1,0.2,10.0,0.2,0.3125,-0.375,0.11999938646332199,0.12138894826686257,60.72018856129677,10
98,1,0.1,1.0,0.37037037037037035,0.45454545454545453,-0.23652495839563303,0.1492276247851076,0.1490180876193671,44.208022653558956,27
99,2,0.2,10.0,0.5555555555555556,0.5,0.0,0.11918773747835858,0.12137045047848101,63.108620782908865,9
