fold,best_representation,best_reps,best_bandwidth,best_C,inner_score,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_train,n_test
72,mean_z,1,0.2,10,0.8263888888888888,0.8888888888888888,0.9285714285714286,0.7559289460184544,0.10191561497430739,0.28349400570338035,2.7985133339924726,71,9
73,mean_z,1,0.1,10,0.8986111111111111,0.7894736842105263,0.7840909090909092,0.5681818181818182,0.03468197232025713,0.34041899933330017,1.447512678832998,61,19
74,mean_z,1,0.1,10,0.8647727272727272,0.8235294117647058,0.85,0.7,0.03247213743269193,0.34216875698117555,1.410813009631737,63,17
75,mean_z,1,0.2,10,0.8771780303030303,0.8125,0.85,0.6831300510639732,0.11722539013908222,0.3433479940583761,3.1911468396311617,64,16
76,mean_z,1,0.1,1,0.794724025974026,0.8125,0.7857142857142857,0.6546536707079771,0.030526683005161273,0.3187712560310313,1.3978288067667357,64,16
77,mean_z,1,0.05,10,0.7939935064935065,0.8666666666666667,0.8660714285714286,0.7321428571428571,0.009130039718753624,0.30329495216840113,1.089268860970739,65,15
78,mean_z,1,0.1,10,0.834375,0.8666666666666667,0.9,0.7559289460184545,0.052989289040155915,0.3422378033410326,1.389517457076964,65,15
79,mean_z,2,0.1,10,0.9117063492063492,0.6666666666666666,0.6625,0.325,0.028917781274959843,0.3614803250045619,1.3592326403954784,62,18
80,mean_z,1,0.2,1,0.8018465909090909,0.8636363636363636,0.8636363636363636,0.7302967433402214,0.11082563273159274,0.3508103329141768,2.7940668315868233,58,22
81,mean_z,1,0.2,10,0.8583333333333333,0.6842105263157895,0.7083333333333333,0.3440511766019877,0.17210070532029398,0.27099695809330804,3.419162281918852,61,19
82,mean_z,1,0.1,1,0.8529265873015873,1.0,1.0,1.0,0.03208020012382591,0.3394579240695621,1.4087054124941785,70,10
83,mean_z,1,0.2,1,0.8046703296703297,0.8,0.8333333333333333,0.6666666666666666,0.11144446617794083,0.33864595033016814,3.0016246405191,70,10
84,mean_z,1,0.1,10,0.8897727272727273,0.7368421052631579,0.717948717948718,0.4200412794412907,0.029800453033749254,0.3141850006746113,1.3963687194038494,61,19
85,mean_z,1,0.2,1,0.7306547619047619,0.8461538461538461,0.875,0.7319250547113999,0.1012643396775754,0.2991458392736664,3.1754239941228963,67,13
86,mean_z,1,0.2,10,0.8760416666666666,0.782608695652174,0.7817460317460317,0.5547552232772196,0.11319747837985054,0.35271553829053043,3.1570772110998195,57,23
87,mean_z,1,0.1,10,0.848895202020202,0.7857142857142857,0.8636363636363636,0.6030226891555273,0.06921152952933889,0.32551614562302983,1.4011060884747488,66,14
88,mean_z,1,0.1,1,0.7494994588744589,1.0,1.0,1.0,0.04251803464371224,0.33070431039445486,1.3795278611780124,65,15
89,mean_z,1,0.2,10,0.877529761904762,0.8666666666666667,0.8295454545454546,0.6590909090909091,0.10254504145147811,0.3237683613539737,2.9783905318182065,65,15
90,mean_z,1,0.2,10,0.7476419413919414,0.9411764705882353,0.9583333333333333,0.8740073734751262,0.08784233255299594,0.25849469960236443,3.157548576966576,63,17
91,mean_z,1,0.2,1,0.8008814102564102,0.8421052631578947,0.8452380952380952,0.6746010525388914,0.1441002023881261,0.32468083733060266,3.1374900686086256,61,19
92,mean_z,1,0.2,10,0.9321676587301587,0.5,0.5,0.0,0.12940116396079748,0.39578070494791306,2.911961044128653,70,10
93,mean_z,1,0.2,1,0.8157693001443002,0.8333333333333334,0.8285714285714285,0.6571428571428571,0.11754476121180704,0.3530543652016623,3.036779996832783,68,12
94,hopp_woods,2,0.2,1,0.6958333333333333,0.5909090909090909,0.5909090909090909,0.2041241452319315,0.05674987953063117,0.11394450825964064,8.89618441913945,58,22
95,mean_z,1,0.2,10,0.832521645021645,0.875,0.875,0.7745966692414834,0.11789806103443037,0.3331973070028192,3.0934487595462516,64,16
96,mean_z,1,0.2,10,0.7601100288600289,0.7222222222222222,0.7,0.4437601569801833,0.09573893419570419,0.2875375210087601,3.0457243869001767,62,18
97,mean_z,1,0.2,10,0.8734623015873015,1.0,1.0,1.0,0.08898804597780134,0.2856806262065892,3.035159780590056,70,10
98,mean_z,1,0.05,10,0.8936011904761905,0.5555555555555556,0.6107954545454546,0.2618924633082486,0.04192070867473926,0.46522754968521635,1.1020724015987329,53,27
99,mean_z,1,0.2,10,0.8427083333333333,1.0,1.0,1.0,0.09865927987475637,0.30028271588328137,2.9942933578353066,71,9
