fold,best_representation,inner_score,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_train,n_test,best_C,best_degree,best_gamma,best_coef0
58,mean_z,0.8286356209150327,0.47619047619047616,0.51875,0.032274861218395144,0.18469848704917094,0.233175994181087,8.565842093636212,59,21,0.1,3,1,1.0
59,mean_z,0.835763888888889,0.9166666666666666,0.9444444444444444,0.816496580927726,0.17269283718771794,0.29000601489591904,5.608060352308184,68,12,1.0,2,scale,1.0
60,mean_z,0.8186372655122656,0.8333333333333334,0.8333333333333333,0.6708203932499369,0.2345195107570489,0.242361940422652,7.454321764819453,62,18,1.0,3,1,0.0
61,mean_z,0.8118551587301587,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.195641557730731,0.3364829964088225,5.220766192267196,68,12,1.0,2,0.1,1.0
62,mean_z,0.8826923076923077,0.8666666666666667,0.8888888888888888,0.7637626158259733,0.17690084596033775,0.30713691838130736,5.768918212290339,65,15,1.0,2,scale,1.0
63,mean_z,0.8005952380952381,0.8571428571428571,0.85,0.7416198487095663,0.15928338336548933,0.2728923187601916,6.278179138591632,59,21,0.1,2,scale,1.0
64,mean_z,0.8384785353535353,0.8571428571428571,0.8571428571428572,0.7453559924999299,0.17914584705410547,0.3181247135025399,5.1919621739174255,66,14,1.0,2,0.1,1.0
65,mean_z,0.8297008547008546,0.8095238095238095,0.8055555555555556,0.6111111111111112,0.18471762748058157,0.2622809284059065,7.045138817933897,59,21,0.1,3,0.1,1.0
66,mean_z,0.8316468253968254,0.88,0.8831168831168831,0.761306166786451,0.1714456893830524,0.2511019522624179,8.18214121070435,55,25,1.0,3,0.1,1.0
67,mean_z,0.889330808080808,0.7857142857142857,0.7444444444444445,0.5185449728701348,0.18269345703912218,0.3098640592010288,6.041154246899918,66,14,1.0,2,scale,1.0
68,mean_z,0.880437271062271,1.0,1.0,1.0,0.18825540096210477,0.26322171730292904,8.210724650480682,69,11,0.1,3,scale,1.0
69,mean_z,0.8500744047619047,0.7777777777777778,0.75,0.5,0.2257906176777375,0.3030949708745376,7.477075966361909,71,9,0.1,3,scale,1.0
70,mean_z,0.8647186147186148,0.8,0.7878787878787878,0.6005325641789633,0.2000748060485178,0.33998000441963994,5.6290927928267305,60,20,1.0,2,scale,1.0
71,mean_z,0.9059586247086246,0.8,0.7946428571428572,0.600099198148979,0.21335410360932794,0.2987529040002566,7.938469078303043,65,15,0.1,3,scale,1.0
72,mean_z,0.8194444444444444,0.8888888888888888,0.9285714285714286,0.7559289460184544,0.16335181258471035,0.2434995468449168,8.78542052666706,71,9,1.0,3,scale,1.0
73,mean_z,0.8319444444444445,0.7894736842105263,0.8011363636363636,0.5955432118425306,0.1923518991008204,0.32173749501400195,5.999985180774091,61,19,1.0,2,0.1,1.0
74,mean_z,0.862987012987013,0.7058823529411765,0.75,0.5400617248673217,0.18457178628757387,0.24013672065085798,6.262911795187424,63,17,0.1,3,0.1,1.0
75,mean_z,0.9001893939393939,0.8125,0.85,0.6831300510639732,0.21729811178072794,0.3032758303576072,7.867870820316885,64,16,1.0,3,scale,1.0
76,mean_z,0.7991883116883116,1.0,1.0,1.0,0.16850899458082028,0.30356722851975193,5.301768321015719,64,16,1.0,2,0.1,1.0
77,mean_z,0.7826839826839826,0.8666666666666667,0.8660714285714286,0.7321428571428571,0.18306784768669002,0.2575855629281372,8.95337641803541,65,15,0.1,3,scale,1.0
78,mean_z,0.80625,0.8666666666666667,0.8500000000000001,0.7,0.19970541520081053,0.3190226167572969,5.814680993354713,65,15,1.0,2,scale,1.0
79,mean_z,0.8724206349206349,0.8888888888888888,0.8875,0.775,0.23480556625958166,0.21582689032214064,6.286138860571364,62,18,10.0,3,0.1,0.0
80,mean_z,0.7776199494949495,0.7727272727272727,0.7727272727272727,0.5669467095138409,0.22130673852432445,0.22109434407621034,7.4186167529655,58,22,1.0,3,scale,0.0
81,mean_z,0.8240530303030303,0.631578947368421,0.675,0.2857738033247041,0.20235145483405997,0.2827892235608447,5.940662498061451,61,19,10.0,2,scale,1.0
82,mean_z,0.8493551587301588,1.0,1.0,1.0,0.1860420507558098,0.32405028637217365,5.562852921820255,70,10,1.0,2,scale,1.0
83,mean_z,0.8315132783882784,0.8,0.8333333333333333,0.6666666666666666,0.22265761772995238,0.31350984805212423,7.760573024638565,70,10,0.1,3,scale,1.0
84,mean_z,0.9053977272727273,0.7894736842105263,0.7564102564102564,0.5128205128205128,0.16992448331047302,0.2910037711759085,5.54203225030218,61,19,1.0,2,0.1,1.0
85,mean_z,0.7809523809523808,0.9230769230769231,0.9375,0.8539125638299666,0.2232240471406721,0.20671637391392467,6.227773198360605,67,13,10.0,3,scale,0.0
86,mean_z,0.8510416666666666,0.8260869565217391,0.8373015873015872,0.6590929823655834,0.20816912681193958,0.33875546262719597,6.216840559856769,57,23,1.0,2,scale,1.0
87,mean_z,0.8611516955266955,0.7142857142857143,0.8181818181818181,0.5222329678670935,0.19786805802001062,0.2717825112715757,7.5961561957618375,66,14,1.0,3,scale,1.0
88,mean_z,0.7734577922077922,0.8,0.8333333333333333,0.6666666666666666,0.2696957401493191,0.2459278015507227,8.678313496755447,65,15,0.1,3,0.1,0.0
89,mean_z,0.8752976190476192,0.8666666666666667,0.8295454545454546,0.6590909090909091,0.1743160402990045,0.30410080150639157,5.498872822098231,65,15,1.0,2,scale,1.0
