fold,best_representation,inner_score,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_train,n_test,best_C,best_gamma
38,mean_z,0.8489583333333333,0.9375,0.9444444444444444,0.8819171036881969,0.14942128359727655,0.25096763424322327,8.49099722685441,64,16,1,scale
39,mean_z,0.7963789682539683,0.9375,0.9444444444444444,0.8819171036881969,0.14784150486596043,0.2610579997596538,7.590877689532992,64,16,1,scale
40,mean_z,0.8439980158730158,0.875,0.875,0.7745966692414834,0.16713274445657098,0.2716214668494466,8.124027237698618,64,16,1,scale
41,mean_z,0.798859126984127,0.875,0.875,0.7745966692414834,0.03166019799247785,0.2747842687221943,1.4303734553264584,64,16,10,0.01
42,mean_z,0.8561507936507937,0.875,0.875,0.75,0.17681207036985747,0.2786395613326794,8.269772885422775,64,16,1,scale
43,mean_z,0.8315972222222222,0.875,0.8888888888888888,0.7777777777777778,0.02756577233343117,0.339476742875515,1.3475653483784906,64,16,10,0.01
44,mean_z,0.8700396825396826,0.6875,0.6746031746031746,0.3578300267477955,0.040701935438432944,0.4229862820659384,1.406550253540871,64,16,10,0.01
45,mean_z,0.8432539682539684,0.8125,0.8125,0.674199862463242,0.032691420055256375,0.3248951850264879,1.377974839751338,64,16,1,0.01
46,mean_z,0.8762400793650793,0.75,0.75,0.5163977794943222,0.04070864347520988,0.3729901404591726,1.4183338330555124,64,16,10,0.01
47,mean_z,0.8010912698412698,0.875,0.875,0.75,0.03678244902449531,0.35990347194782857,1.3906102847460144,64,16,10,0.01
48,mean_z,0.8154761904761905,0.8125,0.8015873015873016,0.6180700462007377,0.03277173670131201,0.3552356227003002,1.3866203925014637,64,16,10,0.01
49,mean_z,0.8137400793650793,0.9375,0.9444444444444444,0.8819171036881969,0.025243900336720825,0.2761374624360236,1.3884593313497477,64,16,10,0.01
50,mean_z,0.8132440476190476,0.9375,0.9375,0.8819171036881969,0.18205339890488773,0.2831300158479107,8.277533481575604,64,16,1,scale
51,mean_z,0.8539186507936508,0.75,0.75,0.5163977794943222,0.03700583313295397,0.36502123374130724,1.3866613999518889,64,16,10,0.01
52,mean_z,0.8067956349206349,0.8125,0.8125,0.629940788348712,0.03651484665214735,0.3629847188311175,1.3867635949040713,64,16,10,0.01
53,mean_z,0.8467261904761905,0.9375,0.9285714285714286,0.8783100656536799,0.13248290157067732,0.23151481053790007,7.650939877408177,64,16,1,scale
54,mean_z,0.8467261904761905,0.75,0.7619047619047619,0.5238095238095238,0.030900596555454178,0.3479051059751258,1.3826360154688737,64,16,10,0.01
55,mean_z,0.8348214285714286,0.875,0.875,0.7745966692414834,0.03323618841108858,0.2867989529791577,1.4343183143969507,64,16,10,0.01
56,mean_z,0.9040178571428572,0.625,0.625,0.25,0.041055420635016104,0.43555133511045657,1.368746464113802,64,16,10,0.01
57,mean_z,0.820436507936508,0.875,0.875,0.7745966692414834,0.03883491227991943,0.36618150610830646,1.3997488047758304,64,16,10,0.01
58,mean_z,0.8583829365079365,0.8125,0.8174603174603174,0.629940788348712,0.025368738147710138,0.30007320341704075,1.3632956687743942,64,16,10,0.01
59,mean_z,0.8427579365079365,0.9375,0.9444444444444444,0.8819171036881969,0.027699287325691928,0.30531237853591237,1.3859119882051594,64,16,10,0.01
60,mean_z,0.8350694444444444,0.875,0.875,0.7745966692414834,0.033773794707443,0.3175007942060775,1.4057285425062704,64,16,10,0.01
61,mean_z,0.7909226190476191,1.0,1.0,1.0,0.03386956238830521,0.3174413732792614,1.407755888687842,64,16,10,0.01
62,mean_z,0.8127480158730158,0.75,0.75,0.5,0.19382387952623864,0.31962011206767094,7.964791849655008,64,16,1,scale
63,mean_z,0.8722718253968254,0.6875,0.6746031746031746,0.3578300267477955,0.03124198082640807,0.37331380483623344,1.3554894779141824,64,16,10,0.01
64,mean_z,0.8588789682539683,0.8125,0.8174603174603174,0.629940788348712,0.028995960112632918,0.29512064693374673,1.4158942815841706,64,16,10,0.01
65,mean_z,0.8506944444444444,0.6875,0.6875,0.3779644730092272,0.20778925109738977,0.33277256234240443,8.395887410073431,64,16,1,scale
66,mean_z,0.8110119047619048,0.8125,0.8125,0.629940788348712,0.16112037070763396,0.25420194870657753,8.60842858794746,64,16,1,scale
67,mean_z,0.8623511904761905,0.875,0.875,0.7745966692414834,0.03689960143858205,0.3646337011821215,1.3868033511059221,64,16,10,0.01
68,mean_z,0.8415178571428572,0.875,0.873015873015873,0.746031746031746,0.1570553650512942,0.2631414857215402,7.903689093787874,64,16,1,scale
69,mean_z,0.875,0.8125,0.8174603174603174,0.629940788348712,0.16963080933944094,0.290682117256085,7.544957834271665,64,16,1,scale
70,mean_z,0.8435019841269841,0.75,0.75,0.5163977794943222,0.035233958560919376,0.34925999851795825,1.3883249353107707,64,16,1,0.01
71,mean_z,0.8400297619047619,0.9375,0.9375,0.8819171036881969,0.03476639780738464,0.34225519657621584,1.3831602496306097,64,16,10,0.01
72,mean_z,0.8663194444444444,0.8125,0.8125,0.629940788348712,0.18799705378554943,0.297507719037742,8.446275506350384,64,16,1,scale
73,mean_z,0.8611111111111112,0.8125,0.8015873015873016,0.6180700462007377,0.15955678879120988,0.26917709148624164,7.946149454913937,64,16,1,scale
74,mean_z,0.8137400793650793,0.8125,0.8333333333333333,0.6831300510639732,0.02940503381448085,0.32754123111523864,1.3813522716000906,64,16,10,0.01
75,mean_z,0.8187003968253969,0.8125,0.8125,0.629940788348712,0.04407251683383915,0.387683073074334,1.4364311068867628,64,16,10,0.01
76,mean_z,0.9092261904761905,0.625,0.625,0.2581988897471611,0.03634028885821667,0.389760205330646,1.3621648159109019,64,16,10,0.01
77,mean_z,0.8110119047619047,0.875,0.875,0.75,0.03215452432155614,0.3193176780277721,1.372728278621632,64,16,10,0.01
78,mean_z,0.8137400793650793,0.9375,0.9444444444444444,0.8819171036881969,0.026711974284639808,0.2839124055350828,1.4118066760256485,64,16,10,0.01
79,mean_z,0.8333333333333333,0.8125,0.8333333333333333,0.6831300510639732,0.1646566391111849,0.2772052576493062,7.785317649100797,64,16,1,scale
80,mean_z,0.8115079365079365,0.75,0.75,0.5773502691896258,0.03728979526076564,0.34563768798642514,1.4175379663779601,64,16,1,0.01
81,mean_z,0.7993551587301587,0.8125,0.8125,0.629940788348712,0.18526031555503178,0.2994737657117924,7.956549131987652,64,16,1,scale
82,mean_z,0.7998511904761905,1.0,1.0,1.0,0.027581344765777355,0.2778134042224902,1.3700953588772,64,16,10,0.01
