fold,best_representation,best_reps,best_bandwidth,best_C,inner_score,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_train,n_test
90,mean_z,2,0.05,10,0.757257326007326,0.8823529411764706,0.8583333333333334,0.7166666666666667,0.10950701855262326,0.21445201496528127,4.139683349905004,63,17
91,mean_z,1,0.1,10,0.7592147435897436,0.8947368421052632,0.8869047619047619,0.7738095238095238,0.17882479705108348,0.19153752204447194,11.31838083371298,61,19
92,mean_z,1,0.1,10,0.8701636904761905,0.6,0.6,0.2,0.2014861699127473,0.26088321561982347,10.268564410612326,70,10
93,mean_z,2,0.05,1,0.839578823953824,0.5833333333333334,0.5857142857142856,0.1690308509457033,0.17037584902992306,0.3309423813174502,4.118604613503405,68,12
94,mean_z,1,0.1,10,0.64375,0.8636363636363636,0.8636363636363636,0.7302967433402214,0.13975289203427968,0.17165435495744544,11.617228734976518,58,22
95,mean_z,2,0.05,1,0.7577110389610389,0.75,0.75,0.5163977794943222,0.15656890896600886,0.30787158398645,4.1724862750206615,64,16
96,mean_z,1,0.1,10,0.7378878066378067,0.9444444444444444,0.95,0.8944271909999159,0.14688244418558688,0.18664196180875525,10.966428189417513,62,18
97,mean_z,2,0.05,10,0.8488095238095238,0.9,0.9375,0.7637626158259734,0.11574773400565651,0.23693592969640853,4.013168192083912,70,10
98,mean_z,1,0.05,10,0.8171130952380953,0.6666666666666666,0.7045454545454546,0.42640143271122083,0.21653693695855955,0.39443022390893073,3.2924938375072,53,27
99,mean_z,2,0.05,10,0.873611111111111,0.6666666666666666,0.625,0.3952847075210474,0.12059090717356695,0.2606894195574705,3.974748538771403,71,9
