fold,best_representation,inner_score,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_train,n_test,best_C
38,mean_z,0.8159722222222222,0.9375,0.9444444444444444,0.8819171036881969,0.2787020653431824,0.29967770098248137,3.979254085762868,64,16,1.0
39,mean_z,0.7941468253968254,0.9375,0.9444444444444444,0.8819171036881969,0.27076983282483685,0.30397117323184164,3.861307189407394,64,16,10.0
40,mean_z,0.8400297619047619,0.875,0.875,0.7745966692414834,0.2694393118959114,0.3033609320379226,3.830092945468951,64,16,1.0
41,mean_z,0.8283730158730158,0.875,0.875,0.7745966692414834,0.25719903978346675,0.2770983772095862,3.7806228862379756,64,16,1.0
42,mean_z,0.8521825396825398,0.875,0.875,0.7745966692414834,0.31317009166562704,0.33701499926431794,3.751834542623058,64,16,10.0
43,mean_z,0.8454861111111112,0.875,0.8888888888888888,0.7777777777777778,0.3175244844430957,0.3390236637066021,3.979300768853925,64,16,0.1
44,mean_z,0.8700396825396826,0.6875,0.6904761904761905,0.3779644730092272,0.4014799448376849,0.4239821377663692,3.6633633904087235,64,16,0.1
45,mean_z,0.8410218253968254,0.8125,0.8125,0.674199862463242,0.30673645521442916,0.32507533721796744,3.8702600280037265,64,16,1.0
46,mean_z,0.8802083333333333,0.75,0.75,0.5163977794943222,0.3565375410978487,0.3747613978683557,3.6082552611415917,64,16,0.1
47,mean_z,0.7854662698412698,0.8125,0.8125,0.629940788348712,0.33556956886249195,0.3610148453428453,3.848028607026958,64,16,0.1
48,mean_z,0.8311011904761905,0.8125,0.8015873015873016,0.6180700462007377,0.33152077400194313,0.35691981380883603,3.686488083377558,64,16,1.0
49,mean_z,0.8120039682539683,0.875,0.873015873015873,0.746031746031746,0.2590760823536946,0.2754307233364478,3.855507660860785,64,16,10.0
50,mean_z,0.8444940476190476,0.9375,0.9375,0.8819171036881969,0.3257373047291858,0.3453056069248654,3.7826623462718536,64,16,10.0
51,mean_z,0.8539186507936508,0.75,0.75,0.5163977794943222,0.35049109505564985,0.3648712230238643,3.8115471613404868,64,16,0.1
52,mean_z,0.8479662698412698,0.8125,0.8125,0.629940788348712,0.34784418627811464,0.361030150516303,3.815319398498854,64,16,1.0
53,mean_z,0.8154761904761905,0.9375,0.9285714285714286,0.8783100656536799,0.2331293504317383,0.2676404764973081,3.6463593986579883,64,16,0.1
54,mean_z,0.8588789682539683,0.75,0.7619047619047619,0.5238095238095238,0.31352614541672,0.3511643184299679,3.9670131833202524,64,16,1.0
55,mean_z,0.8348214285714286,0.875,0.875,0.7745966692414834,0.2678743254237605,0.28688322181752657,3.635208979688887,64,16,1.0
56,mean_z,0.921875,0.5625,0.5625,0.1259881576697424,0.4115386344436164,0.43285691366618523,3.889877541420618,64,16,10.0
57,mean_z,0.804811507936508,0.875,0.875,0.7745966692414834,0.34844171791317136,0.36730012433587444,3.8038958434443053,64,16,10.0
58,mean_z,0.8583829365079365,0.8125,0.8174603174603174,0.629940788348712,0.2742651938736789,0.3006345216943966,3.977058524591351,64,16,0.1
59,mean_z,0.8583829365079365,1.0,1.0,1.0,0.2804356420131,0.30837651566374946,3.8292116649213055,64,16,10.0
60,mean_z,0.8368055555555556,0.875,0.875,0.7745966692414834,0.3019351403253656,0.3196374854740063,3.7889280772424443,64,16,1.0
61,mean_z,0.8226686507936509,1.0,1.0,1.0,0.2730482617479533,0.3207180104254068,3.8039208104492377,64,16,10.0
62,mean_z,0.7775297619047619,0.8125,0.8125,0.629940788348712,0.3703222220140442,0.39203584972785094,3.6880208797754332,64,16,1.0
63,mean_z,0.9017857142857143,0.6875,0.6746031746031746,0.3578300267477955,0.3501956567567366,0.3707422414589681,3.890889248581549,64,16,1.0
