fold,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_test,best_C,best_gamma
62,0.625,0.625,0.25,0.019949807956000376,0.05481937305601845,3.595760958395758,16,10.0,0.01
63,0.5625,0.5476190476190476,0.09759000729485331,0.04888611251262505,0.08382566685756071,11.908951769399337,16,10.0,scale
64,0.5,0.47619047619047616,-0.050964719143762556,0.04451354420053163,0.07708202556297752,10.724639560930294,16,10.0,scale
65,0.3125,0.3125,-0.40451991747794525,0.07122723766556094,0.11546501425143563,11.937812317172506,16,1.0,scale
66,0.6875,0.6875,0.3779644730092272,0.015131689318116849,0.036920913601906614,3.5451691155057277,16,10.0,0.01
67,0.625,0.625,0.25,0.043785627642735477,0.06824440952145744,11.048449362459214,16,10.0,scale
68,0.625,0.6190476190476191,0.23809523809523808,0.05099697253092074,0.0854654680988699,11.303780248980646,16,10.0,scale
69,0.5625,0.5476190476190476,0.09759000729485331,0.045076061624177856,0.0785443850819322,10.74825514187905,16,10.0,scale
70,0.5625,0.5625,0.2581988897471611,0.12743708919534705,0.12903932342219965,57.575321389285044,16,1.0,1
71,0.5625,0.5625,0.1259881576697424,0.04790765912757668,0.075745494883048,10.804717297180037,16,10.0,scale
72,0.75,0.75,0.5163977794943222,0.04965689584308924,0.07979429287217188,11.394026494559899,16,10.0,scale
73,0.625,0.6349206349206349,0.2698412698412698,0.047478491618677315,0.08063549571675348,11.453725206534948,16,10.0,scale
74,0.5,0.46031746031746035,-0.10087125544480041,0.016449593645078527,0.054642278641880045,3.651843518993433,16,1.0,0.01
75,0.5,0.5,0.0,0.05596049865522124,0.08556622444043607,11.601879831932571,16,10.0,scale
76,0.6875,0.6875,0.3779644730092272,0.11321568651746604,0.11609477426101975,46.11221689837072,16,10.0,0.1
77,0.4375,0.4375,-0.16012815380508713,0.11404487010902944,0.11662671125660123,47.28361738922475,16,1.0,0.1
78,0.5625,0.5476190476190476,0.09759000729485331,0.1129255280195899,0.11588898180848874,47.343084713594386,16,1.0,0.1
79,0.75,0.7301587301587301,0.49265895172303803,0.12350313837224124,0.12678078731896508,47.361026214669224,16,1.0,0.1
80,0.625,0.625,0.25,0.04655017305660613,0.07323494240839507,10.687764824933135,16,10.0,scale
81,0.625,0.625,0.2581988897471611,0.023330904393678492,0.06550011941874342,3.847945656734498,16,10.0,0.01
82,0.4375,0.4375,-0.1259881576697424,0.024869788752317837,0.07252223993321652,3.601419922371537,16,1.0,0.01
83,0.625,0.6507936507936507,0.32277655457716287,0.04150824312363965,0.06906074736010243,11.008843189128683,16,10.0,scale
84,0.5625,0.5793650793650793,0.16265001215808886,0.04054306816856867,0.06774675596509012,11.194282487797908,16,10.0,scale
85,0.5,0.5,0.0,0.12196176894746145,0.12379599311670561,58.99981009349923,16,1.0,1
86,0.5,0.5,0.0,0.1268919467220491,0.12855577876298493,57.607367201824644,16,1.0,1
87,0.5625,0.5625,0.16012815380508713,0.13340841445926707,0.13587880881074432,49.63350429269875,16,1.0,0.1
88,0.625,0.6349206349206349,0.2698412698412698,0.0496582057578257,0.08554776886135872,11.107044021307326,16,10.0,scale
89,0.5,0.46031746031746035,-0.10087125544480041,0.11087102695197312,0.11410492149854592,45.8894920383772,16,1.0,0.1
90,0.5625,0.5625,0.13483997249264842,0.11769968711415259,0.12018208265633512,48.35699067628208,16,1.0,0.1
91,0.5625,0.5625,0.2581988897471611,0.12507034990348048,0.1270814038503235,59.24882588668952,16,1.0,1
92,0.625,0.625,0.2886751345948129,0.11308464467925229,0.1160814233903487,48.63631331213516,16,1.0,0.1
93,0.5,0.4920634920634921,-0.015873015873015872,0.05436073428126476,0.0921880405479077,10.996346650888746,16,10.0,scale
94,0.5,0.5079365079365079,0.015873015873015872,0.05104674939020438,0.08786833161872912,10.910036013218189,16,10.0,scale
95,0.5625,0.5625,0.13483997249264842,0.11212099196666836,0.11496927700822084,47.166999641624884,16,1.0,0.1
96,0.625,0.625,0.2581988897471611,0.04962211872248543,0.07531692044267302,11.422695661641614,16,10.0,scale
97,0.375,0.375,-0.25,0.025209680662438658,0.06944080761335546,3.6420719968145643,16,10.0,0.01
98,0.5625,0.6111111111111112,0.3333333333333333,0.11759818117544105,0.12009408653800982,46.36151992985191,16,10.0,0.1
99,0.625,0.6031746031746031,0.22084711628963774,0.04271651604825749,0.07421583203315665,11.331833264460519,16,10.0,scale
